Date,sigma_real_abs_rt,sigma_fitted_garch
2017-11-01,366.94,283.38019480532193
2017-12-01,189.46,297.30303927333233
2018-01-01,487.1,287.70384557752425
2018-02-01,623.98,323.04164553798034
2018-03-01,163.59,431.57920760129025
2018-04-01,160.54,405.49308497599196
2018-05-01,47.4,370.20397317016364
2018-06-01,75.91,342.019424448439
2018-07-01,356.72,319.47788378031
2018-08-01,126.19,321.22471518068755
2018-09-01,120.92,303.5329917492288
2018-10-01,486.67999999999995,289.9612287697575
2018-11-01,213.13,373.38222103774234
2018-12-01,884.03,347.29116463182237
2019-01-01,636.93,526.7508796267506
2019-02-01,315.83,519.9170726331536
2019-03-01,52.93000000000001,470.7036156340495
2019-04-01,195.23,422.01717859598426
2019-05-01,506.32,384.6430730239435
2019-06-01,682.97,435.73678549060986
2019-07-01,156.73999999999998,464.90620290285875
2019-08-01,246.66000000000003,417.6444870037371
2019-09-01,291.45,406.052476060306
2019-10-01,200.35,378.67029507547585
2019-11-01,365.44,350.70389070472976
2019-12-01,397.83,345.20533455727343
2020-01-01,77.14,345.96210266708835
2020-02-01,911.0799999999999,330.81399199414443
2020-03-01,1106.24,528.2306478279673
2020-04-01,1275.4099999999999,692.3152463266907
2020-05-01,427.25,782.9321613196286
2020-06-01,283.64,693.3300290613607
2020-07-01,740.66,609.6160369280744
2020-08-01,885.5600000000001,600.4149298473103
2020-09-01,496.35999999999996,624.1706377637912
2020-10-01,331.67,602.2945710158534
2020-11-01,1166.71,559.5495774982754
2020-12-01,562.43,669.9399019403305
2021-01-01,143.44,617.2775760188725
2021-02-01,29.18,541.8669532731989
2021-03-01,493.40999999999997,482.52159548952625
2021-04-01,373.28000000000003,462.53169316838495
2021-05-01,24.64,431.05018437817284
2021-06-01,286.28999999999996,390.89267188442216
2021-07-01,141.41,366.45136964555604
2021-08-01,198.55,338.9047766488076
2021-09-01,389.01,319.77869160310894
2021-10-01,444.89,365.8171028081823
2021-11-01,189.85,368.460098307807
2021-12-01,652.97,342.20131037856186
2022-01-01,56.37,396.6090037865464
2022-02-01,205.73999999999998,368.04049998552875
2022-03-01,490.54,363.1707457451225
2022-04-01,597.29,374.72386050859467
2022-05-01,133.73,453.4335060245949
2022-06-01,1001.78,407.9275459765536
2022-07-01,492.83000000000004,595.4650546208624
2022-08-01,233.91000000000003,549.5859465600638
2022-09-01,918.97,505.74019306406115
2022-10-01,1263.24,622.8095586179645
2022-11-01,585.86,735.9749692341977
2022-12-01,380.05,672.5184247617817
2023-01-01,285.40000000000003,621.1383875380675
2023-02-01,324.92,550.4659774800454
2023-03-01,37.36,518.4466796837755
2023-04-01,94.4,463.9224714496112
2023-05-01,445.5,416.10940058392265
2023-06-01,583.4399999999999,442.27241027481267
2023-07-01,334.75,448.54498237860713
2023-08-01,263.66999999999996,415.97597826754543
2023-09-01,482.44999999999993,407.4609983455873
2023-10-01,360.63,444.8477921155836
2023-11-01,691.1400000000001,445.28955911743765
2023-12-01,603.62,473.2439648113254
2024-01-01,72.64999999999999,474.67624797827085
2024-02-01,373.57,424.93592976730696
2024-03-01,431.30000000000007,402.07560098615016
2024-04-01,534.29,392.7763769901512
2024-05-01,293.44,447.9356632232378
2024-06-01,225.89999999999998,411.62911274452443
2024-07-01,25.430000000000003,378.04244457695705
2024-08-01,207.66,351.419626613245
2024-09-01,155.95000000000002,329.939238359629
2024-10-01,217.37,310.97123815622206
2024-11-01,470.94999999999993,299.7523498489914
2024-12-01,538.41,327.53033748879176
2025-01-01,121.46,409.31730821621255
2025-02-01,206.73,383.70926882327853
2025-03-01,737.49,354.9894539758052
2025-04-01,215.51999999999998,483.3638434223681
2025-05-01,1053.57,451.77096429816646
2025-06-01,752.39,573.415299744077
2025-07-01,44.1,576.3716041558997
2025-08-01,224.5,508.3298385975362
2025-09-01,90.16999999999999,455.29256611439587
2025-10-01,137.86,409.15701118138367
2025-11-01,166.82999999999998,385.32575227348656
2025-12-01,55.089999999999996,354.4668848705529
2025-12-31,,329.52678773498013
