Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197806,-0.4946,1.4249,-0.2463,-1.0248,-1.7711,-1.0241
197807,5.1862,5.5458,6.5113,5.8754,5.5139,6.0202
197808,9.7819,7.3150,8.5994,4.2594,3.3208,4.4484
197809,-0.6653,-1.2056,-1.2523,0.4787,-0.6894,-2.0741
197810,-20.7021,-17.5930,-22.4377,-10.8048,-8.8778,-11.3578
197811,5.1596,5.0316,7.8452,3.6923,2.7572,3.3774
197812,1.6981,1.5071,3.1559,0.5180,1.6513,1.9977
197901,9.9763,7.7083,8.3697,5.3994,4.5030,3.8433
197902,-2.1664,-2.5552,-2.9050,-2.7268,-2.7840,-3.9081
197903,10.1763,7.6001,10.7297,7.9746,5.1140,6.8332
197904,3.6793,1.6070,2.7161,0.0708,0.4147,0.5567
197905,-0.9532,-1.2927,-1.8127,-2.4123,-1.4987,-0.9294
197906,4.9822,5.8756,6.0288,5.4979,3.7070,5.5672
197907,3.0713,3.3811,2.5201,2.6693,0.7348,2.1707
197908,7.5542,7.5577,8.5634,5.9670,5.5573,7.8696
197909,-0.3549,-0.7615,-0.0245,0.7638,-0.1307,-0.5696
197910,-11.3637,-10.1988,-9.8087,-5.8966,-6.6449,-7.7237
197911,7.8092,7.1334,10.0344,6.1944,5.0145,7.6319
197912,6.5663,5.8021,7.0728,2.0401,1.5894,3.5450
198001,8.4001,7.1908,8.3055,8.6074,5.2170,4.9191
198002,-2.0338,-2.0240,-1.4988,2.7334,-0.4061,-3.6447
198003,-17.9540,-16.5455,-19.0605,-13.3363,-9.3160,-10.1248
198004,6.7043,5.6709,6.3579,5.5220,4.6439,5.1945
198005,7.2157,7.9744,8.3587,6.5157,5.0969,6.6294
198006,4.0261,4.5323,5.2200,2.9648,3.1638,3.3844
198007,8.0832,8.9328,12.8172,7.3944,5.9421,7.5430
198008,5.4732,5.7085,6.5788,1.6600,1.6503,2.0086
198009,2.7059,2.4421,4.9491,2.2404,1.6998,5.7186
198010,2.9315,3.5984,4.6379,1.8180,1.1750,2.9665
198011,5.7056,5.2202,10.0863,8.3738,9.9640,15.0337
198012,-2.4971,-1.8910,-4.4694,-3.3084,-2.3417,-3.8841
198101,0.3644,0.8015,-2.7940,-2.9317,-2.9697,-8.3044
198102,1.4592,2.4856,0.0764,3.1348,2.5403,0.3946
198103,6.6057,6.9981,9.0745,6.7650,2.7888,5.4235
198104,3.1485,3.1882,3.1360,-0.3210,-1.5295,-3.3940
198105,2.4207,2.5933,4.4558,-0.4502,0.8716,1.0843
198106,-0.4270,0.3847,-4.0530,-0.3177,0.0309,-2.0764
198107,-2.1653,-2.0344,-2.5244,-2.9376,-0.9266,2.7490
198108,-7.3626,-5.5805,-8.9360,-5.6193,-4.8037,-6.8143
198109,-7.3748,-5.9752,-9.3724,-5.3853,-3.3330,-8.4525
198110,7.6519,7.0140,8.6023,4.4903,3.9710,9.1140
198111,2.8365,4.9681,2.0280,5.5359,4.5859,4.3449
198112,-0.7684,-1.0794,-2.6484,-1.5368,-2.1394,-4.5658
198201,-2.7792,-2.2792,-4.6065,-2.5737,-0.5196,-4.6411
198202,-3.3084,-1.9828,-6.3567,-2.3051,-3.3573,-8.3956
198203,0.4462,0.3974,-2.0556,-0.4592,0.4202,-2.6962
198204,5.5170,4.9359,6.3896,6.2786,3.2842,5.5023
198205,-2.4113,-1.7473,-3.3068,-3.9980,-2.6469,-2.8556
198206,-1.9975,-1.4789,-3.3814,-0.8961,-0.4668,-4.5807
198207,-0.6855,-0.8077,-2.3073,-2.3651,-1.5711,-3.6226
198208,8.6294,8.5861,8.3623,13.3131,11.9482,13.2479
198209,3.7177,4.8027,3.0085,1.0672,1.4754,1.8229
198210,13.4071,13.0475,14.6750,14.2608,9.8686,13.5992
198211,9.7681,9.0512,8.5482,5.1818,3.9370,5.8160
198212,1.8283,0.8020,0.9823,0.9608,2.0754,-0.1989
198301,6.8079,5.5823,8.3951,4.1022,3.4085,3.6275
198302,7.1294,6.6808,4.2679,2.5701,2.7032,3.4107
198303,6.8347,5.4326,3.0870,5.2754,2.8334,3.4187
198304,8.2666,7.6433,7.3178,8.3861,7.5117,6.3217
198305,6.9652,5.0996,7.1540,-0.2367,-1.3824,2.4286
198306,5.1453,4.3642,4.3527,2.5184,3.3119,4.8798
198307,-1.6587,-1.3206,-3.2547,-1.2207,-2.8553,-5.3858
198308,-3.5065,-2.0055,-3.7456,3.1382,1.3436,-0.3208
198309,2.0516,2.5058,1.5521,1.4765,2.2571,0.9726
198310,-4.7651,-4.1809,-7.1667,-0.7494,-0.7852,-4.3404
198311,5.2438,4.7880,3.9956,3.0607,1.9987,3.0379
198312,-0.7026,-0.9084,-2.1952,-0.1159,-0.8192,-1.2760
198401,-0.4414,-0.1225,-2.4590,0.2358,-0.1043,-3.5163
198402,-5.4668,-4.8040,-5.6569,-2.3956,-3.2474,-5.2293
198403,1.8991,1.0829,0.8934,2.3425,1.0597,1.0541
198404,-0.8185,0.0952,-0.6705,1.3666,1.0398,-0.3292
198405,-5.5246,-3.7572,-6.1494,-6.1340,-5.0449,-4.4890
